Phone Number,Order ID,Order Date,Payment Method,SKU Code,SKU Name,SKU Category,SKU Price,Qty Sold,Net Value,Channel,Store,Profit
82160165128,6C3085113239,3/17/2025,QRIS,10501200000000,SONICE CHICKEN NUGGET 250 GR,AYAM & TELUR,16800,3.02,50736,Tokopedia,GDC DEPOK,16691.63
82129706452,6C7355563225,6/12/2025,Debit Card,10501200000000,CAMPINA FG TRPIC DBL CRCH 55ML,MAKANAN & MINUMAN OLAHAN,4500,3,13500,Shopee,GDC DEPOK,3231
81215736708,6C5949968414,3/3/2025,Voucher,10601800000000,BAMBOE BUMBU NASI UDUK 50GR,BUMBU & KONDIMEN,8100,3,24300,Shopee,KRANJI,8759.46
81372026549,6C5830365616,8/25/2025,Debit Card,10300600000000,PISANG EMAS SEDANG,MAKANAN & MINUMAN OLAHAN,9000,2,18000,Gojek,KEMANG,2000
81372026549,6C5830365616,8/25/2025,Debit Card,10602600000000,RENGGINANG CEPLUS PEDAS BAWANG GORENG,MAKANAN & MINUMAN OLAHAN,33500,1,33500,Gojek,KEMANG,10500
81372026549,6C5830365616,8/25/2025,Debit Card,10501100000000,WCC NATA DE COCO DESSSERT STRAWBERRY 360GR,MAKANAN & MINUMAN OLAHAN,8600,1,8600,Gojek,KEMANG,3195
81372026549,6C5830365616,8/25/2025,Debit Card,10602400000000,NARAYA SOYA BOTOL 320ML,MAKANAN & MINUMAN OLAHAN,5600,5,28000,Gojek,KEMANG,6063.05
81275143114,6C1193410425,5/13/2025,Cash,11205200000000,AZAKI TEMPE KUNING 200GR,MAKANAN & MINUMAN OLAHAN,9000,5,45000,Tokopedia,JATI RAWAMANGUN,8750
81359078115,6C5957792944,3/18/2025,QRIS,10602400000000,YOU C1000 ORANGE WATER 500ML,MAKANAN & MINUMAN OLAHAN,8700,4,34800,WA,CIKAMPEK,10308
85749173187,6C7753016934,11/13/2025,Debit Card,10602000000000,GOLDENFIL CHOCO SPREAD 350GR,MAKANAN & MINUMAN OLAHAN,37000,4,148000,Shopee,JATI RAWAMANGUN,36288.28
85749173187,6C7753016934,11/13/2025,Debit Card,10100100000000,WAGYU BEEF PATTY 500GR,DAGING,84000,1.31,110040,Shopee,JATI RAWAMANGUN,18340
85740793439,6C8171315641,1/18/2025,Cash,10607500000000,REBO KUACI SUPER CAFFE LATTE 150GR,MAKANAN & MINUMAN OLAHAN,14900,5,74500,Tokopedia,BOGOR,17595
85740793439,6C8171315641,1/18/2025,Cash,10100100000000,DAGING SAPI POT RENDANG FROZEN 1KG,DAGING,117000,3.74,437580,Tokopedia,BOGOR,44031.02
85734844671,6C9701726159,12/17/2025,Cash,11205200000000,METZGER SMOKED TURKEY BREAST 100GR,MAKANAN & MINUMAN OLAHAN,58200,3,174600,Tokopedia,CIKAMPEK,48600
85734844671,6C9701726159,12/17/2025,Cash,10602600000000,POETRI BALI CASHEWS CRISPY 75GR,MAKANAN & MINUMAN OLAHAN,31500,5,157500,Tokopedia,CIKAMPEK,50000
85789095697,6C2541397438,2/10/2025,Voucher,10300700000000,PWT BROKOLI 400GR,MAKANAN & MINUMAN OLAHAN,16600,4,66400,Shopee,KRANJI,3400
81297521350,6C1489231706,6/3/2025,Voucher,10601700000000,WARASA SUKIYAKI 50GR,MAKANAN & MINUMAN OLAHAN,12000,5,60000,WA,GDC DEPOK,12275
81297521350,6C1489231706,6/3/2025,Voucher,10605300000000,KEWPIE SALAD DRESSING YOGURT 70GR,MAKANAN & MINUMAN OLAHAN,10800,5,54000,WA,GDC DEPOK,14540.55
87859904769,6C8401462855,8/18/2025,QRIS,10501100000000,SARI ROTI SANDWICH PANDAN SARIKAYA 46GR,MAKANAN & MINUMAN OLAHAN,6000,3,18000,Tokopedia,GDC DEPOK,3405.42
81375404689,6C4186388503,7/22/2025,Debit Card,10603900000000,PRABU SALE GULUNG 200GR,MAKANAN & MINUMAN OLAHAN,18500,4,74000,WA,KRANJI,24000
81164644713,6C5679071714,5/14/2025,QRIS,10200400000000,D FRESH FROZEN PAHA UTUH 2S,PRODUK OLAHAN BEKU,25500,4,102000,WA,KRANGGAN,18000
85759495442,6C3117449075,2/16/2025,Debit Card,10401000000000,UDANG PD VANNAMEI 2ND GRADE 500GR,IKAN & HASIL LAUT,52000,4.17,216840,Offline,SOREANG BANDUNG,50040
81184633446,6C4098856443,4/20/2025,QRIS,10602200000000,NISSIN RAMEN KALDU AYAM ALA JEPANG 100GR,AYAM & TELUR,8000,4.2,33600,Tokopedia,GDC DEPOK,7182
81184633446,6C4098856443,4/20/2025,QRIS,10300700000000,KSATRIA TEMPE KOTAK 300GR,MAKANAN & MINUMAN OLAHAN,10000,5,50000,Tokopedia,GDC DEPOK,10000
81184633446,6C4098856443,4/20/2025,QRIS,11205200000000,KANZLER SINGLES HOT,MAKANAN & MINUMAN OLAHAN,8400,1,8400,Tokopedia,GDC DEPOK,2063.96
85713730518,6C3480598267,1/31/2025,Debit Card,10607000000000,MAE PLOY RED CURRY PASTE 50GR,MAKANAN & MINUMAN OLAHAN,15500,4,62000,Tokopedia,KRANGGAN,17000
85713730518,6C3480598267,1/31/2025,Debit Card,11206600000000,AICE MOCHI PEACH 45ML,MAKANAN & MINUMAN OLAHAN,3500,4,14000,Tokopedia,KRANGGAN,3909.92
81263413849,6C8658157632,3/6/2025,Voucher,10200400000000,SAYAP TULIP FRESH MEMBER KG,MAKANAN & MINUMAN OLAHAN,62900,4,251600,WA,CIKAMPEK,12000
81269072517,6C4310071479,9/12/2025,Debit Card,10300700000000,PWT POKCOY 250GR,MAKANAN & MINUMAN OLAHAN,4000,4,16000,Offline,TEBET,3400
81269072517,6C4310071479,9/12/2025,Debit Card,10607800000000,WONHAE BANANA BITES CHOCOLATE 60GR,MAKANAN & MINUMAN OLAHAN,8900,2,17800,Offline,TEBET,4110.7
82130310393,6C6377251113,4/29/2025,Cash,10702700000000,DAIA DETERGENT PUTIH 800GR,MAKANAN & MINUMAN OLAHAN,19000,4,76000,Tokopedia,KRANGGAN,23567.6
82130310393,6C6377251113,4/29/2025,Cash,10602200000000,OMOIDE CARBONARA UDON 260GR,MAKANAN & MINUMAN OLAHAN,18700,3,56100,Tokopedia,KRANGGAN,13532.43
82130310393,6C6377251113,4/29/2025,Cash,10601300000000,MJ TEPUNG SERBAGUNA,MAKANAN & MINUMAN OLAHAN,1300,3,3900,Tokopedia,KRANGGAN,1200
81125192613,6C1344909333,3/13/2025,Debit Card,10501200000000,BELFOODS CRISPY FRIED CHICKEN 500GR,AYAM & TELUR,46000,3.27,150420,Offline,BOGOR,43334.04
81276973081,6C4694565457,4/22/2025,Cash,10601700000000,SAORI SAUS TERIYAKI 1000ML,BUMBU & KONDIMEN,53500,1,53500,Offline,JATI RAWAMANGUN,10671.35
81276973081,6C4694565457,4/22/2025,Cash,11506400000000,ULB GURAME,MAKANAN & MINUMAN OLAHAN,33200,4,132800,Offline,JATI RAWAMANGUN,22400
82144281317,6C1662509991,1/12/2025,Debit Card,10607800000000,MAICIH KERIPIK SINGKONG LEVEL 10 80GR,MAKANAN & MINUMAN OLAHAN,20900,3,62700,WA,KEMANG,17700
82144281317,6C1662509991,1/12/2025,Debit Card,10501200000000,ARDENA EGG MONEY BAG 300GR,MAKANAN & MINUMAN OLAHAN,25600,2,51200,WA,KEMANG,14342.34
81376870884,6C8776767451,9/3/2025,QRIS,10601700000000,MY TASTE TERIYAKI SAUCE 100GR,MAKANAN & MINUMAN OLAHAN,8800,5,44000,Gojek,TEBET,14000
81376870884,6C8776767451,9/3/2025,QRIS,10300700000000,PWT CABE MERAH TW 200GR,MAKANAN & MINUMAN OLAHAN,19900,3,59700,Gojek,TEBET,3000
81376870884,6C8776767451,9/3/2025,QRIS,10601800000000,FINNA BUMBU RAWON 50GR,BUMBU & KONDIMEN,6000,1,6000,Gojek,TEBET,2100
87883568723,6C4298526834,6/18/2025,QRIS,10601800000000,KOEPOE2 GARLIC POWDER 64GR,MAKANAN & MINUMAN OLAHAN,12100,4,48400,Tokopedia,KEMANG,16327.92
81237976108,6C7894648241,12/8/2025,Voucher,10707700000000,KIPAS SATE,MAKANAN & MINUMAN OLAHAN,7500,3,22500,Gojek,GDC DEPOK,12000
81274212895,6C7044788847,12/17/2025,Cash,10601800000000,KNORR CHICKEN SEASONING POWDER 1KG,AYAM & TELUR,108500,3.76,407960,WA,KRANJI,102756.4
82122878751,6C1531358945,7/12/2025,Voucher,10702900000000,BRIGHT GAS PORTABLE 220GR,MAKANAN & MINUMAN OLAHAN,25500,3,76500,WA,CIKAMPEK,33257.58
82122878751,6C1531358945,7/12/2025,Voucher,10702800000000,NICE FACIAL TISSUE 500S,MAKANAN & MINUMAN OLAHAN,15400,2,30800,WA,CIKAMPEK,15527.28
82122878751,6C1531358945,7/12/2025,Voucher,10602400000000,POCARI SWEAT 330ML,MAKANAN & MINUMAN OLAHAN,6600,1,6600,WA,CIKAMPEK,2050.45
82122878751,6C1531358945,7/12/2025,Voucher,10100100000000,DAGING TERIYAKI 500GR,DAGING,64500,1.52,98040,WA,CIKAMPEK,10331.44
82122878751,6C1531358945,7/12/2025,Voucher,10603800000000,PAKET SAYANG IBU,MAKANAN & MINUMAN OLAHAN,271499.99,2,542999.98,WA,CIKAMPEK,88395
81398840088,6C3016465969,6/15/2025,Debit Card,10300700000000,SWJ ZUKINI 500GR,MAKANAN & MINUMAN OLAHAN,16500,5,82500,Offline,CIKAMPEK,12500
81398840088,6C3016465969,6/15/2025,Debit Card,10607000000000,KUWA KATSUO DASHI GUSSET 50GR,MAKANAN & MINUMAN OLAHAN,19900,5,99500,Offline,CIKAMPEK,20000
82140208458,6C9921251459,11/28/2025,Voucher,11506200000000,PANENQU NILA MERAH FROZEN,PRODUK OLAHAN BEKU,35000,2,70000,Shopee,SOREANG BANDUNG,20000
85740634532,6C7242759911,6/19/2025,Cash,10501100000000,GREEN VALLEY PARMESAN CHEESE 80GR,MAKANAN & MINUMAN OLAHAN,54900,5,274500,Tokopedia,CIKAMPEK,78750
81382622245,6C8015926112,8/23/2025,QRIS,10607300000000,SELERA ROTI SOSIS,PRODUK OLAHAN BEKU,9000,4,36000,Tokopedia,GDC DEPOK,4000
81147956222,6C5744638940,3/13/2025,Voucher,10602400000000,NARAYA SOYA BOTOL CHOCO 320ML,MAKANAN & MINUMAN OLAHAN,5600,3,16800,WA,JATI RAWAMANGUN,3637.83
81147956222,6C5744638940,3/13/2025,Voucher,10100100000000,DAGING RENDANG FRESH MEMBER KG,DAGING,110000,4.29,471900,WA,JATI RAWAMANGUN,51480
87894557656,6C5491807392,3/8/2025,Voucher,10707700000000,PANGGANGAN BESAR,MAKANAN & MINUMAN OLAHAN,66600,2,133200,Gojek,KRANJI,38200
87894557656,6C5491807392,3/8/2025,Voucher,10602600000000,GERY SALUUT MALKIST KEJU 105GR,MAKANAN & MINUMAN OLAHAN,8200,3,24600,Gojek,KRANJI,7789.2
87894557656,6C5491807392,3/8/2025,Voucher,10602400000000,LMEN RTD HIGH PROTEIN 2GO CHOCOLATE 200ML,MAKANAN & MINUMAN OLAHAN,15000,5,75000,Gojek,KRANJI,17500
85770782907,6C6597367807,2/7/2025,Cash,10607000000000,MANITA BUMBU TONGSENG 50GR,BUMBU & KONDIMEN,8900,5,44500,WA,SOREANG BANDUNG,12970
85770782907,6C6597367807,2/7/2025,Cash,10607300000000,SELERA ROTI PISANG CHOCOLATE,MAKANAN & MINUMAN OLAHAN,8500,2,17000,WA,SOREANG BANDUNG,2000
81311703666,6C3912288482,2/22/2025,Cash,10501200000000,CAMPINA TROPICANA CHOCO VANILLA 65ML,MAKANAN & MINUMAN OLAHAN,5500,1,5500,Shopee,JATI RAWAMANGUN,1175.68
81185354240,6C5378695519,4/2/2025,Debit Card,10602600000000,LOTTE PEPERO WHITE COOKIE 32GR,MAKANAN & MINUMAN OLAHAN,16000,2,32000,Offline,BOGOR,8200
81185354240,6C5378695519,4/2/2025,Debit Card,10602400000000,GAMBINO BOTANIKAL SEREH JAHE MADU 250GR,MAKANAN & MINUMAN OLAHAN,31000,3,93000,Offline,BOGOR,22500
82148572324,6C7004512911,11/27/2025,QRIS,10607800000000,SIIP BITES CHICKEN 62GR,AYAM & TELUR,6900,3.83,26427,Shopee,KEMANG,7967.05
82148572324,6C7004512911,11/27/2025,QRIS,10501200000000,SONICE CHICKEN NUGGET 250 GR,AYAM & TELUR,16800,0.76,12768,Shopee,KEMANG,4200.54
82148572324,6C7004512911,11/27/2025,QRIS,10401000000000,CUMI RING VACUUM 350GR,IKAN & HASIL LAUT,24500,3.04,74480,Shopee,KEMANG,15960
82194690957,6C7033212613,4/14/2025,Debit Card,10200400000000,SKI FROZEN KAKI 500GR,PRODUK OLAHAN BEKU,18500,1,18500,Shopee,JATI RAWAMANGUN,3500
82194690957,6C7033212613,4/14/2025,Debit Card,10300700000000,YF ENDIVE 250GR,MAKANAN & MINUMAN OLAHAN,18500,4,74000,Shopee,JATI RAWAMANGUN,4000
82194690957,6C7033212613,4/14/2025,Debit Card,10501100000000,MY ROTI TAWAR FUNWARI,MAKANAN & MINUMAN OLAHAN,14500,2,29000,Shopee,JATI RAWAMANGUN,6792
82194690957,6C7033212613,4/14/2025,Debit Card,10501200000000,CAMPINA CONCERTO SUNDAE CHOCOLATE 110ML,MAKANAN & MINUMAN OLAHAN,8000,1,8000,Shopee,JATI RAWAMANGUN,2234.23
82194690957,6C7033212613,4/14/2025,Debit Card,10601500000000,KELLOGGS FROOT LOOPS 160GR,MAKANAN & MINUMAN OLAHAN,25900,5,129500,Shopee,JATI RAWAMANGUN,28950
81392923863,6C6376191236,8/16/2025,Debit Card,10602400000000,COCA COLA CAN 250ML,MAKANAN & MINUMAN OLAHAN,6000,4,24000,WA,GDC DEPOK,7250.76
85781102684,6C9698448758,3/22/2025,Debit Card,10602200000000,SEDAAP MIE SOTO 76GR,MAKANAN & MINUMAN OLAHAN,3100,4,12400,Gojek,JATI RAWAMANGUN,2636.04
85781102684,6C9698448758,3/22/2025,Debit Card,10601800000000,KOBE TEPUNG TEMPE 200GR,MAKANAN & MINUMAN OLAHAN,6700,3,20100,Gojek,JATI RAWAMANGUN,5505.42
81283049543,6C2058501879,7/11/2025,Voucher,10602400000000,KAKI TIGA ANAK PLAIN CAN 200ML,DAGING,4200,2.56,10752,Shopee,SOREANG BANDUNG,2823.68
87853178816,6C2904832707,1/9/2025,Voucher,11205200000000,GOURMET MASTER CHORIZO GARLIC 360GR,MAKANAN & MINUMAN OLAHAN,49900,5,249500,Shopee,KRANGGAN,81735
81326707093,6C1999601862,8/24/2025,Debit Card,10602100000000,CARNATION SBC 365GR,MAKANAN & MINUMAN OLAHAN,12500,4,50000,Shopee,KEMANG,8843.24
81326707093,6C1999601862,8/24/2025,Debit Card,10602600000000,RENGGINANG CEPLUS GURIH,MAKANAN & MINUMAN OLAHAN,20900,1,20900,Shopee,KEMANG,6900
81146395284,6C4922842259,12/26/2025,QRIS,10501200000000,DF SOTO AYAM KUNING,AYAM & TELUR,37000,2.6,96200,Gojek,CIKAMPEK,19240
85767911199,6C7817900617,8/2/2025,Voucher,10602600000000,SILVERQUEEN BITES DARK 40GR,MAKANAN & MINUMAN OLAHAN,10700,4,42800,Tokopedia,CIKAMPEK,12048
82115375972,6C7151045753,1/12/2025,Debit Card,10501100000000,GREEN VALLEY PARMESAN CHEESE 80GR,MAKANAN & MINUMAN OLAHAN,54900,2,109800,Gojek,KRANJI,31500
82115375972,6C7151045753,1/12/2025,Debit Card,10501200000000,YONA SOSIS SAPI 450GR,PRODUK OLAHAN BEKU,44900,4,179600,Gojek,KRANJI,65870.28
82115375972,6C7151045753,1/12/2025,Debit Card,10602200000000,BICH CHI VINA PHO RICE NOODLE 200GR,MAKANAN & MINUMAN OLAHAN,27000,3,81000,Gojek,KRANJI,34500
81128786084,6C5893147972,4/24/2025,QRIS,10602200000000,SEDAAP MIE CUP KARI SPESIAL 81GR,MAKANAN & MINUMAN OLAHAN,5300,4,21200,Tokopedia,TEBET,6192.52
81316240836,6C9924559932,9/14/2025,Cash,10601800000000,BAMBOE BUMBU TOM YUM 60GR,BUMBU & KONDIMEN,9500,5,47500,Gojek,BOGOR,15968.45
81316240836,6C9924559932,9/14/2025,Cash,10602600000000,POTABEE SELECTIONS SALTED EGG 68GR,MAKANAN & MINUMAN OLAHAN,10600,5,53000,Gojek,BOGOR,17631.85
82187870281,6C9264959508,11/28/2025,QRIS,10602600000000,SUKRO KEDELE 95GR,MAKANAN & MINUMAN OLAHAN,9800,5,49000,Shopee,BOGOR,14315.3
82187870281,6C9264959508,11/28/2025,QRIS,10501200000000,REMPA FOOD SEMUR 300GR,MAKANAN & MINUMAN OLAHAN,58000,1,58000,Shopee,BOGOR,16000
81236205451,6C4008063966,1/8/2025,Cash,10300700000000,SWJ JAMUR KUPING 200GR,MAKANAN & MINUMAN OLAHAN,9500,1,9500,Gojek,KRANGGAN,500
81236205451,6C4008063966,1/8/2025,Cash,10100200000000,KIBIF BEEF SAIKORO 500GR,DAGING,91500,3.1,283650,Gojek,KRANGGAN,97287.3
85715951126,6C9768956616,10/3/2025,Cash,10100200000000,SIRLOIN STEAK AUS 180 GR,DAGING,37800,2.18,82404,Tokopedia,BOGOR,8284
85715951126,6C9768956616,10/3/2025,Cash,10100200000000,SIRLOIN STEAK AUS PRIME AGED 200GR,DAGING,43400,2.29,99386,Tokopedia,BOGOR,10076
85736499105,6C9892311451,12/12/2025,Debit Card,10602600000000,POTATO Q SOSIS MEXICO 50GR,PRODUK OLAHAN BEKU,6500,2,13000,Gojek,KRANJI,3675.68
82185999261,6C3207670720,6/18/2025,Debit Card,10501100000000,SARI ROTI SANDWICH KRIM KEJU 46GR,MAKANAN & MINUMAN OLAHAN,6000,2,12000,Gojek,JATI RAWAMANGUN,2270.28
82185999261,6C3207670720,6/18/2025,Debit Card,10300700000000,SEREH CURAH,MAKANAN & MINUMAN OLAHAN,10000,4,40000,Gojek,JATI RAWAMANGUN,4000
82185999261,6C3207670720,6/18/2025,Debit Card,10100100000000,BEEF ULB DAGING KEPALA KG,DAGING,90000,1.65,148500,Gojek,JATI RAWAMANGUN,10395
81344903570,6C3500291942,10/30/2025,Cash,10605300000000,PAMMA SAMBAL TABUR TERASI UDANG 30GR,IKAN & HASIL LAUT,13500,4.29,57915,Tokopedia,KRANJI,15015
85778951678,6C1292416082,12/4/2025,Debit Card,10602600000000,DELFI BAR BAR SHARE 10X8GR,MAKANAN & MINUMAN OLAHAN,15900,5,79500,Offline,BOGOR,25395
85778951678,6C1292416082,12/4/2025,Debit Card,10601300000000,CERES HAGELSLAG MILK 140GR,MAKANAN & MINUMAN OLAHAN,25600,2,51200,Offline,BOGOR,12800
85778951678,6C1292416082,12/4/2025,Debit Card,10200400000000,D FRESH FROZEN FILLET DADA 500GR,PRODUK OLAHAN BEKU,30500,1,30500,Offline,BOGOR,12000
81393429008,6C5469126674,8/13/2025,Debit Card,10501200000000,JAVAS RICE PAPER KOTAK 20S,MAKANAN & MINUMAN OLAHAN,21000,1,21000,Offline,GDC DEPOK,6315.32
81393429008,6C5469126674,8/13/2025,Debit Card,10607300000000,SELERA ROTI TAWAR BESAR KOTAK,MAKANAN & MINUMAN OLAHAN,16500,5,82500,Offline,GDC DEPOK,12500
81393429008,6C5469126674,8/13/2025,Debit Card,10601700000000,SAORI SAUS TIRAM SACHET 23ML,BUMBU & KONDIMEN,3000,2,6000,Offline,GDC DEPOK,1390.08
81256322256,6C5519737405,2/2/2025,QRIS,10300700000000,PWT JAMUR KUPING 200GR,MAKANAN & MINUMAN OLAHAN,13300,2,26600,Offline,GDC DEPOK,1400
85733590666,6C2148808322,6/18/2025,Voucher,10602400000000,OATSIDE CARAMEL MACHIATO 200ML,MAKANAN & MINUMAN OLAHAN,9900,4,39600,Tokopedia,CIKAMPEK,11041.44
85733590666,6C2148808322,6/18/2025,Voucher,10501200000000,BELFOODS CHICKEN POPCORN 500GR,AYAM & TELUR,55000,2.88,158400,Tokopedia,CIKAMPEK,47610.81
85733590666,6C2148808322,6/18/2025,Voucher,10601700000000,DELMONTE SAUS TOMAT GALON 5.7KG,BUMBU & KONDIMEN,99000,2,198000,Tokopedia,CIKAMPEK,39262
82175818400,6C7294819854,6/15/2025,Cash,10602600000000,FITBAR TIRAMISU 22GR,MAKANAN & MINUMAN OLAHAN,5700,1,5700,Tokopedia,GDC DEPOK,2000
81296128065,6C9083379738,1/25/2025,QRIS,10601600000000,NARAYA WHOLE MUSHROOM 425GR,MAKANAN & MINUMAN OLAHAN,17000,3,51000,Offline,BOGOR,14400
81296128065,6C9083379738,1/25/2025,QRIS,10601700000000,WARASA YAKIMESHI 50GR,MAKANAN & MINUMAN OLAHAN,12000,5,60000,Offline,BOGOR,12275
81296128065,6C9083379738,1/25/2025,QRIS,10100100000000,TULANG IGA SUPER 500GR,DAGING,49500,3.99,197505,Offline,BOGOR,30703.05
81329982457,6C1089833358,10/26/2025,Cash,10605300000000,PAMMA KALDU BOUILLON KAMBING 80GR,MAKANAN & MINUMAN OLAHAN,13500,2,27000,WA,KRANGGAN,7000
82150573979,6C1444978548,9/24/2025,Voucher,10601700000000,JAYS SAUCE STEAK BROWN GRAVY 25GR,MAKANAN & MINUMAN OLAHAN,15500,4,62000,Shopee,CIKAMPEK,12400
87867333514,6C3315722529,11/14/2025,Voucher,10601700000000,DELMONTE EXTRA HOT BOTOL 190ML,MAKANAN & MINUMAN OLAHAN,10000,1,10000,WA,TEBET,2651.67
87867333514,6C3315722529,11/14/2025,Voucher,10601800000000,SASA BUMBU SAYUR SOP 20GR,BUMBU & KONDIMEN,2100,3,6300,WA,TEBET,1829.73
82138865745,6C7512661432,10/1/2025,Voucher,10601400000000,ICHITAN SIGNATURE CHOCO 300ML,MAKANAN & MINUMAN OLAHAN,11500,1,11500,Shopee,BOGOR,3391.89
82138865745,6C7512661432,10/1/2025,Voucher,10602100000000,CIMORY UHT MILK HAZELNUT 250ML,MAKANAN & MINUMAN OLAHAN,6800,3,20400,Shopee,BOGOR,4455
82138865745,6C7512661432,10/1/2025,Voucher,10601400000000,LMEN PROTEIN 2GO OGURA 190ML,MAKANAN & MINUMAN OLAHAN,15500,3,46500,Shopee,BOGOR,10500
81310640103,6C2018636558,9/2/2025,Voucher,10601800000000,GULA CAIR KOEPOE KOEPOE 5 LT,MAKANAN & MINUMAN OLAHAN,103000,2,206000,Gojek,JATI RAWAMANGUN,40324.32
85756602850,6C7359418742,8/22/2025,Debit Card,10300700000000,SWJ PAPRIKA MERAH 1PCS,MAKANAN & MINUMAN OLAHAN,21900,3,65700,Offline,TEBET,5700
85756602850,6C7359418742,8/22/2025,Debit Card,10702800000000,CLEAN PLUS BAMBOO SOFTPACK 150S,MAKANAN & MINUMAN OLAHAN,12900,3,38700,Offline,TEBET,14330.64
85756602850,6C7359418742,8/22/2025,Debit Card,10607800000000,NEXTAR STRAWBERRY COOKIES 80GR,MAKANAN & MINUMAN OLAHAN,7900,5,39500,Offline,TEBET,9250
85756602850,6C7359418742,8/22/2025,Debit Card,10607000000000,SAJIKU BUMBU CAPCAY 20GR,BUMBU & KONDIMEN,2200,4,8800,Offline,TEBET,2845.52
85756602850,6C7359418742,8/22/2025,Debit Card,10501200000000,AYOMA SOSIS BRATWURST 500GR,PRODUK OLAHAN BEKU,37500,3,112500,Offline,TEBET,41689.2
85774623023,6C7500555883,11/12/2025,QRIS,10501100000000,SURI BAKSO JUMBO URAT 10B,PRODUK OLAHAN BEKU,95000,5,475000,Gojek,KEMANG,97725
85774623023,6C7500555883,11/12/2025,QRIS,10601400000000,VICA 600ml,MAKANAN & MINUMAN OLAHAN,2700,4,10800,Gojek,KEMANG,4313.52
81271373016,6C7999145713,12/13/2025,Voucher,10300700000000,PWT BABY BUNCIS 200GR,MAKANAN & MINUMAN OLAHAN,8900,2,17800,Tokopedia,KRANJI,1000
81271373016,6C7999145713,12/13/2025,Voucher,10707700000000,TUSUK SATE 100GR,MAKANAN & MINUMAN OLAHAN,7900,4,31600,Tokopedia,KRANJI,8800
81271373016,6C7999145713,12/13/2025,Voucher,10200400000000,D FRESH FROZEN FILLET DADA 500GR,PRODUK OLAHAN BEKU,30500,4,122000,Tokopedia,KRANJI,48000
81240774566,6C6863048370,11/13/2025,Voucher,10300700000000,SWJ TOMAT TW 500GR,MAKANAN & MINUMAN OLAHAN,19100,5,95500,Tokopedia,KRANJI,5500
81240774566,6C6863048370,11/13/2025,Voucher,10602600000000,HELLO PANDA CHOCO 42GR,MAKANAN & MINUMAN OLAHAN,8500,3,25500,Tokopedia,KRANJI,7560
81240774566,6C6863048370,11/13/2025,Voucher,10602300000000,BORGES OLIVE OIL EXTRA LIGHT 250ML,MAKANAN & MINUMAN OLAHAN,79500,1,79500,Tokopedia,KRANJI,18300
87864162120,6C2893365363,10/3/2025,Voucher,10601700000000,MY TASTE TERIYAKI SAUCE 500GR,MAKANAN & MINUMAN OLAHAN,23000,5,115000,Shopee,SOREANG BANDUNG,40000
82148901861,6C4736230706,10/5/2025,QRIS,10501100000000,DIAMOND UHT MILK LOW FAT HIGH C 200ML,MAKANAN & MINUMAN OLAHAN,4800,2,9600,Tokopedia,JATI RAWAMANGUN,1800
87882246476,6C6336130931,6/12/2025,QRIS,10607500000000,RITZ CRACKERS ORIGINAL 100GR,MAKANAN & MINUMAN OLAHAN,7900,4,31600,Tokopedia,BOGOR,9232
87882246476,6C6336130931,6/12/2025,QRIS,10501200000000,INDOESKRIM KULKUL IGLOO CHOCOLATE,MAKANAN & MINUMAN OLAHAN,2500,2,5000,Tokopedia,BOGOR,1621.62
